,North,South,East,West,Central,OverallReading
21/6/2013
1:00am,193,225,192,198,180,180-225
2:00am,191,209,189,196,177,177-209
3:00am,190,197,185,194,173,173-197
4:00am,190,193,181,192,171,171-193
5:00am,189,191,179,189,169,169-191
6:00am,189,190,177,188,168,168-190
7:00am,191,191,176,191,166,166-191
8:00am,197,196,180,198,170,170-198
9:00am,205,205,184,209,175,175-209
10:00am,219,216,186,220,179,179-220
11:00am,217,220,186,227,180,180-227
12:00pm,210,232,188,225,181,181-232
1:00pm,197,239,188,210,179,179-239
2:00pm,193,230,185,200,175,175-230
3:00pm,190,225,181,196,173,173-225
4:00pm,185,225,177,194,171,171-225
5:00pm,177,216,175,189,166,166-216
6:00pm,173,200,169,182,161,161-200
7:00pm,174,197,167,179,159,159-197
8:00pm,173,194,166,175,158,158-194
9:00pm,172,189,163,172,155,155-189
10:00pm,170,186,160,169,154,154-186
11:00pm,170,183,159,169,154,154-183
12:00am,170,183,159,170,155,155-183
22/6/2013
1:00am,171,185,160,172,156,156-185
2:00am,172,189,162,176,159,159-189
3:00am,174,192,165,180,162,162-192
4:00am,176,197,168,184,166,166-197
5:00am,179,204,171,188,170,170-204
6:00am,182,226,177,193,173,173-226
7:00am,183,241,184,194,177,177-241
8:00am,182,246,185,194,179,179-246
9:00am,180,241,184,194,177,177-241
10:00am,178,235,182,194,176,176-235
11:00am,178,229,181,193,175,175-229
12:00pm,180,216,177,193,173,173-216
1:00pm,182,199,176,191,173,173-199
2:00pm,181,197,175,189,172,172-197
3:00pm,178,193,174,185,170,170-193
4:00pm,175,187,173,181,167,167-187
5:00pm,171,185,170,178,165,165-185
6:00pm,168,184,168,176,162,162-184
7:00pm,163,182,165,175,161,161-182
8:00pm,160,180,163,172,159,159-180
9:00pm,157,178,161,169,157,157-178
10:00pm,154,175,159,166,153,153-175
11:00pm,151,171,154,162,148,148-171
12:00am,148,167,151,158,144,144-167
23/6/2013
1:00am,144,164,147,153,141,141-164
2:00am,141,160,144,147,137,137-160
3:00am,138,157,141,143,134,134-157
4:00am,134,154,139,139,130,130-154
5:00am,130,150,137,136,127,127-150
6:00am,127,143,132,132,124,124-143
7:00am,123,136,125,126,120,120-136
8:00am,119,128,118,119,114,114-128
9:00am,115,121,112,112,108,108-121
10:00am,110,114,105,107,101,101-114
11:00am,104,106,98,100,95,95-106
12:00pm,96,98,91,94,88,88-98
1:00pm,91,95,84,93,84,84-95
2:00pm,89,93,82,93,82,82-93
3:00pm,88,94,81,94,82,81-94
4:00pm,89,94,82,95,82,82-95
5:00pm,89,94,82,96,82,82-96
6:00pm,89,93,81,97,81,81-97
7:00pm,88,92,81,99,81,81-99
8:00pm,87,90,80,102,79,79-102
9:00pm,85,89,79,105,78,78-105
10:00pm,83,88,78,109,77,77-109
11:00pm,82,87,77,110,76,76-110
12:00am,80,87,76,109,75,75-109
24/6/2013
1:00am,79,86,75,108,74,74-108
2:00am,78,84,73,108,73,73-108
3:00am,76,82,71,107,72,71-107
4:00am,74,79,69,105,70,69-105
5:00am,72,76,66,103,68,66-103
6:00am,70,73,64,101,66,64-101
7:00am,67,71,62,98,64,62-98
8:00am,65,68,60,96,62,60-96
9:00am,63,66,59,93,60,59-93
10:00am,61,64,58,91,59,58-91
11:00am,60,63,57,90,57,57-90
12:00pm,59,62,56,89,57,56-89
1:00pm,58,61,56,89,56,56-89
2:00pm,58,61,55,88,56,55-88
3:00pm,58,61,55,88,57,55-88
4:00pm,59,61,55,88,57,55-88
5:00pm,61,62,55,87,58,55-87
6:00pm,61,62,55,85,59,55-85
7:00pm,70,63,55,83,59,55-83
8:00pm,77,64,55,80,60,55-80
9:00pm,77,63,55,76,60,55-77
10:00pm,77,62,55,73,60,55-77
11:00pm,77,61,55,71,59,55-77
12:00am,77,60,54,71,58,54-77
25/6/2013
1:00am,77,60,53,70,57,53-77
2:00am,77,59,53,69,57,53-77
3:00am,77,58,53,69,56,53-77
4:00am,77,58,53,68,56,53-77
5:00am,77,58,52,68,56,52-77
6:00am,77,58,52,67,55,52-77
7:00am,77,57,52,67,55,52-77
8:00am,77,58,52,68,55,52-77
9:00am,77,58,52,68,55,52-77
10:00am,77,57,52,68,54,52-77
11:00am,77,57,52,67,54,52-77
12:00pm,77,57,52,67,54,52-77
1:00pm,66,57,52,67,54,52-67
2:00pm,58,57,52,67,54,52-67
3:00pm,58,56,52,67,54,52-67
4:00pm,57,56,52,66,54,52-66
5:00pm,55,57,52,65,53,52-65
6:00pm,55,56,52,63,52,52-63
7:00pm,54,56,52,62,52,52-62
8:00pm,54,56,52,60,52,52-60
9:00pm,53,56,53,59,52,52-59
10:00pm,52,56,53,57,52,52-57
11:00pm,52,57,54,56,52,52-57
